t,tau1,tau2,ddq1,ddq2,q1,q2,X,Y,
0,1.93098,-14.1579,0,0,0,0,0,2,
0.00125,22.689,-11.1763,81.7909,-234.155,4.97155e-05,-0.000153698,5.43544e-05,2,
0.0025,94.6891,-1.21315,159.186,-395.514,0.000234171,-0.00068765,0.000219486,2,
0.00375,100,-0.360066,164.202,-405.235,0.00064708,-0.00179726,0.00050338,2,
0.005,100,-0.259116,163.583,-403.279,0.00131616,-0.00353909,0.000907147,2,
0.00625,100,-0.186002,163.079,-401.692,0.00224125,-0.00591209,0.00143004,1.99999,
0.0075,100,-0.140712,162.686,-400.457,0.00342077,-0.00891178,0.00207078,1.99998,
0.00875,100,-0.123556,162.398,-399.558,0.00485491,-0.0125382,0.00282902,1.99996,
0.01,100,-0.134824,162.208,-398.976,0.0065424,-0.016788,0.00370386,1.99993,
0.01125,100,-0.175112,162.109,-398.689,0.00848375,-0.0216623,0.00469533,1.99988,
0.0125,100,-0.244977,162.093,-398.672,0.010678,-0.0271585,0.00580288,1.99981,
0.01375,100,-0.345262,162.15,-398.9,0.013126,-0.0332787,0.00702682,1.99971,
0.015,100,-0.476757,162.27,-399.342,0.0158269,-0.0400212,0.00836689,1.99958,
0.01625,100,-0.64052,162.443,-399.965,0.0187817,-0.0473887,0.00982365,1.99941,
0.0175,100,-0.837539,162.656,-400.735,0.02199,-0.0553801,0.011397,1.9992,
0.01875,100,-1.06905,162.896,-401.612,0.0254528,-0.0639987,0.0130877,1.99893,
0.02,100,-1.33618,163.147,-402.553,0.0291698,-0.0732439,0.0148957,1.9986,
0.02125,100,-1.64031,163.395,-403.511,0.0331421,-0.083119,0.0168217,1.9982,
0.0225,100,-1.98267,163.622,-404.438,0.0373693,-0.0936236,0.0188658,1.99772,
0.02375,100,-2.36468,163.81,-405.28,0.0418525,-0.104761,0.0210287,1.99715,
0.025,100,-2.78763,163.941,-405.981,0.0465913,-0.116531,0.0233101,1.99647,
0.02625,100,-3.25293,163.993,-406.482,0.0515866,-0.128936,0.0257106,1.99568,
0.0275,100,-3.76179,163.946,-406.724,0.0568378,-0.141975,0.0282295,1.99476,
0.02875,100,-4.31553,163.78,-406.644,0.0623455,-0.155651,0.0308672,1.99371,
0.03,100,-4.9152,163.473,-406.18,0.0681087,-0.169961,0.0336224,1.9925,
0.03125,100,-5.56191,163.005,-405.271,0.0741277,-0.184906,0.0364949,1.99112,
0.0325,100,-6.25641,162.354,-403.858,0.0804009,-0.200484,0.039483,1.98957,
0.03375,100,-6.99945,161.503,-401.884,0.0869283,-0.216694,0.0425855,1.98781,
0.035,100,-7.79135,160.434,-399.299,0.0937075,-0.23353,0.0458,1.98585,
0.03625,100,-8.63235,159.131,-396.056,0.100738,-0.250992,0.0491245,1.98366,
0.0375,100,-9.52221,157.583,-392.12,0.108016,-0.269071,0.0525558,1.98123,
0.03875,100,-10.4605,155.779,-387.46,0.115541,-0.287764,0.0560906,1.97854,
0.04,100,-11.4462,153.714,-382.059,0.123309,-0.307061,0.0597248,1.97557,
0.04125,100,-12.478,151.386,-375.908,0.131318,-0.326956,0.0634541,1.97231,
0.0425,100,-13.5542,148.796,-369.009,0.139563,-0.347437,0.0672732,1.96875,
0.04375,100,-14.6725,145.95,-361.378,0.14804,-0.368495,0.0711767,1.96486,
0.045,94.1307,-16.6582,137.407,-342.641,0.156745,-0.390118,0.0751584,1.96063,
0.04625,63.1307,-22.1633,105.799,-280.347,0.165662,-0.412268,0.0792131,1.95605,
0.0475,35.0892,-27.1655,77.5164,-225.236,0.174743,-0.434857,0.0833389,1.95113,
0.04875,9.77168,-31.6806,52.2527,-176.626,0.183946,-0.457799,0.0875354,1.94586,
0.05,-13.05,-35.7276,29.7219,-133.869,0.193232,-0.481018,0.0918025,1.94026,
0.05125,-33.5838,-39.3254,9.65098,-96.3502,0.202563,-0.504447,0.0961411,1.93433,
0.0525,-52.0264,-42.495,-8.20834,-63.5073,0.211911,-0.528026,0.100552,1.92808,
