time,X,Y,Z,
0, 0, 0, 0,
0.0025, 1.57206e-06, 7.70084e-10, -3.41904e-05,
0.005, 5.75278e-06, 2.14629e-09, -0.000132896,
0.0075, 1.09514e-05, 3.24301e-09, -0.000292385,
0.01, 1.6852e-05, 3.19999e-09, -0.000508572,
0.0125, 2.38268e-05, 1.34429e-09, -0.000778938,
0.015, 3.17794e-05, -2.42112e-09, -0.00110311,
0.0175, 3.9743e-05, -7.6705e-09, -0.00148324,
0.02, 4.66913e-05, -1.3781e-08, -0.00192188,
0.0225, 5.24207e-05, -2.03018e-08, -0.00242073,
0.025, 5.78862e-05, -2.71453e-08, -0.00297916,
0.0275, 6.47231e-05, -3.45731e-08, -0.0035962,
0.03, 7.4173e-05, -4.2724e-08, -0.00427099,
0.0325, 8.64763e-05, -5.14252e-08, -0.00500447,
0.035, 0.000100968, -6.02434e-08, -0.00579844,
0.0375, 0.000116795, -6.87704e-08, -0.00665493,
0.04, 0.000133593, -7.69092e-08, -0.00757421,
0.0425, 0.000151694, -8.4946e-08, -0.00855524,
0.045, 0.000171731, -9.33772e-08, -0.00959568,
0.0475, 0.00019404, -1.02627e-07, -0.010694,
0.05, 0.000218301, -1.12861e-07, -0.0118493,
0.0525, 0.000243723, -1.24026e-07, -0.0130624,
0.055, 0.00026957, -1.36108e-07, -0.0143336,
0.0575, 0.000295649, -1.49196e-07, -0.0156629,
0.06, 0.000322345, -1.63504e-07, -0.0170492,
0.0625, 0.000350314, -1.79292e-07, -0.0184913,
0.065, 0.000380037, -1.96672e-07, -0.0199885,
0.0675, 0.000411588, -2.15459e-07, -0.0215412,
0.07, 0.000444725, -2.35203e-07, -0.0231508,
0.0725, 0.00047924, -2.55591e-07, -0.0248187,
0.075, 0.000515225, -2.76434e-07, -0.0265456,
0.0775, 0.000553124, -2.97725e-07, -0.0283315,
0.08, 0.000593473, -3.19552e-07, -0.030176,
0.0825, 0.000636601, -3.4198e-07, -0.0320788,
0.085, 0.000682434, -3.64963e-07, -0.03404,
0.0875, 0.000730632, -3.88388e-07, -0.0360605,
0.09, 0.00078082, -4.12173e-07, -0.0381404,
0.0925, 0.000832856, -4.36373e-07, -0.0402798,
0.095, 0.000886851, -4.61186e-07, -0.0424776,
0.0975, 0.000943044, -4.86879e-07, -0.0447329,
0.1, 0.00100156, -5.13669e-07, -0.0470446,
0.1025, 0.00106235, -5.41656e-07, -0.0494125,
0.105, 0.00112521, -5.70827e-07, -0.0518368,
0.1075, 0.00118998, -6.01139e-07, -0.0543177,
0.11, 0.00125672, -6.32575e-07, -0.0568551,
0.1125, 0.00132568, -6.65178e-07, -0.0594489,
0.115, 0.00139718, -6.98991e-07, -0.0620986,
0.1175, 0.00147146, -7.34005e-07, -0.0648045,
0.12, 0.00154857, -7.70111e-07, -0.0675667,
0.1225, 0.00162844, -8.07139e-07, -0.0703861,
0.125, 0.00171097, -8.44917e-07, -0.0732633,
0.1275, 0.00179616, -8.83344e-07, -0.0761987,
0.13, 0.00188412, -9.22403e-07, -0.0791922,
0.1325, 0.001975, -9.62137e-07, -0.0822436,
0.135, 0.00206888, -1.00259e-06, -0.0853527,
0.1375, 0.00216572, -1.04378e-06, -0.0885195,
0.14, 0.00226542, -1.08571e-06, -0.0917439,
0.1425, 0.00236792, -1.12839e-06, -0.0950262,
0.145, 0.00247324, -1.17186e-06, -0.0983658,
0.1475, 0.00258152, -1.21625e-06, -0.101763,
0.15, 0.00269294, -1.26166e-06, -0.105216,
0.1525, 0.0028087, -1.30667e-06, -0.108731,
0.155, 0.00293117, -1.35075e-06, -0.112312,
0.1575, 0.00306044, -1.39552e-06, -0.115951,
0.16, 0.00319492, -1.44214e-06, -0.119645,
0.1625, 0.0033326, -1.49065e-06, -0.123392,
0.165, 0.00347168, -1.53995e-06, -0.127195,
0.1675, 0.00361169, -1.5889e-06, -0.131061,
0.17, 0.00375427, -1.63749e-06, -0.13499,
0.1725, 0.00390039, -1.68636e-06, -0.138979,
0.175, 0.00405136, -1.73645e-06, -0.143024,
0.1775, 0.00420781, -1.78846e-06, -0.14712,
0.18, 0.0043689, -1.84206e-06, -0.15127,
0.1825, 0.00453288, -1.89613e-06, -0.155479,
0.185, 0.00469829, -1.94953e-06, -0.15975,
0.1875, 0.00486492, -2.002e-06, -0.164086,
0.19, 0.00503405, -2.05406e-06, -0.168483,
0.1925, 0.0052076, -2.10675e-06, -0.172939,
0.195, 0.00538645, -2.16114e-06, -0.177448,
0.1975, 0.00557027, -2.21702e-06, -0.182012,
0.2, 0.00575788, -2.27351e-06, -0.186634,
0.2025, 0.00594838, -2.32964e-06, -0.191319,
0.205, 0.00614182, -2.38516e-06, -0.196067,
0.2075, 0.0063393, -2.44064e-06, -0.200876,
0.21, 0.0065422, -2.50007e-06, -0.205741,
0.2125, 0.00675136, -2.55191e-06, -0.21066,
0.215, 0.00696652, -2.61483e-06, -0.215635,
0.2175, 0.00718677, -2.67399e-06, -0.220668,
0.22, 0.00741122, -2.72887e-06, -0.225762,
0.2225, 0.00763971, -2.79176e-06, -0.23092,
0.225, 0.00787271, -2.85319e-06, -0.236138,
0.2275, 0.00811088, -2.90371e-06, -0.241414,
0.23, 0.00835441, -2.96976e-06, -0.246746,
0.2325, 0.00860289, -3.0315e-06, -0.252136,
0.235, 0.00885555, -3.09539e-06, -0.257585,
0.2375, 0.00911187, -3.15633e-06, -0.263097,
0.24, 0.0093713, -3.26438e-06, -0.268675,
0.2425, 0.00963464, -3.36876e-06, -0.274318,
0.245, 0.00990339, -3.47144e-06, -0.280022,
0.2475, 0.0101781, -3.56765e-06, -0.285783,
0.25, 0.0104588, -3.65205e-06, -0.291602,
0.2525, 0.0107452, -3.72432e-06, -0.297481,
0.255, 0.0110369, -3.79059e-06, -0.303424,
0.2575, 0.0113343, -3.85964e-06, -0.309431,
