t,tau1,tau2,q1,q2,X,Y, 
0, 100, 2.4028, 0, 1, -0.841471, 3.5403,
0.00125, 100, 2.44464, 6.47444e-05, 0.999898, -0.841516, 3.54033,
0.0025, 100, 2.48227, 0.000258511, 0.999594, -0.84165, 3.54043,
0.00375, 100, 2.51566, 0.000581663, 0.999086, -0.841873, 3.54058,
0.005, 100, 2.54475, 0.00103378, 0.998376, -0.842186, 3.5408,
0.00625, 100, 2.5695, 0.00161531, 0.997462, -0.842588, 3.54108,
0.0075, 100, 2.58985, 0.00232592, 0.996345, -0.843078, 3.54142,
0.00875, 100, 2.60575, 0.00316613, 0.995023, -0.843658, 3.54182,
0.01, 100, 2.61713, 0.0041357, 0.993498, -0.844326, 3.54228,
0.01125, 100, 2.62394, 0.00523525, 0.991766, -0.845083, 3.54281,
0.0125, 100, 2.6261, 0.00646461, 0.989828, -0.845927, 3.5434,
0.01375, 100, 2.62355, 0.00782449, 0.987682, -0.84686, 3.54405,
0.015, 100, 2.6162, 0.00931482, 0.985326, -0.847879, 3.54476,
0.01625, 100, 2.60398, 0.0109364, 0.982759, -0.848985, 3.54554,
0.0175, 100, 2.5868, 0.0126893, 0.97998, -0.850178, 3.54638,
0.01875, 100, 2.56457, 0.0145743, 0.976986, -0.851456, 3.54728,
0.02, 100, 2.5372, 0.0165917, 0.973774, -0.852819, 3.54825,
0.02125, 100, 2.50459, 0.0187424, 0.970343, -0.854267, 3.54928,
0.0225, 100, 2.46663, 0.0210267, 0.966691, -0.855798, 3.55038,
0.02375, 100, 2.42321, 0.0234457, 0.962812, -0.857412, 3.55154,
0.025, 100, 2.37422, 0.0259997, 0.958707, -0.859108, 3.55277,
0.02625, 100, 2.31955, 0.0286901, 0.954369, -0.860885, 3.55407,
0.0275, 100, 2.25904, 0.0315172, 0.949797, -0.862742, 3.55544,
0.02875, 100, 2.19259, 0.0344826, 0.944985, -0.864678, 3.55687,
0.03, 100, 2.12004, 0.0375868, 0.939931, -0.866692, 3.55838,
0.03125, 100, 2.04125, 0.0408315, 0.93463, -0.868782, 3.55995,
0.0325, 100, 1.95606, 0.0442172, 0.929077, -0.870948, 3.5616,
0.03375, 100, 1.86432, 0.0477459, 0.923267, -0.873187, 3.56333,
0.035, 100, 1.76586, 0.0514185, 0.917195, -0.875499, 3.56512,
0.03625, 100, 1.6605, 0.0552368, 0.910855, -0.877881, 3.567,
0.0375, 100, 1.54805, 0.0592021, 0.904242, -0.880332, 3.56894,
0.03875, 100, 1.42833, 0.0633164, 0.897349, -0.882849, 3.57097,
0.04, 100, 1.30114, 0.0675812, 0.89017, -0.885432, 3.57308,
0.04125, 100, 1.16628, 0.0719988, 0.882697, -0.888077, 3.57527,
0.0425, 100, 1.02353, 0.0765708, 0.874924, -0.890782, 3.57754,
0.04375, 100, 0.872671, 0.0812999, 0.866841, -0.893545, 3.57989,
0.045, 100, 0.713492, 0.086188, 0.858442, -0.896364, 3.58233,
0.04625, 100, 0.545758, 0.091238, 0.849716, -0.899234, 3.58486,
